Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,Notes from original source,License URL
SE.TER.CUAT.BA.ZS,CC BY-4.0,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Bachelor's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.LO.FE.ZS,CC BY-4.0,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed lower secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed lower secondary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.LO.MA.ZS,CC BY-4.0,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed lower secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed lower secondary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.LO.ZS,CC BY-4.0,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed lower secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed lower secondary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.PO.FE.ZS,CC BY-4.0,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed post-secondary non-tertiary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.PO.MA.ZS,CC BY-4.0,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed post-secondary non-tertiary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.PO.ZS,CC BY-4.0,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed post-secondary non-tertiary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CUAT.FE.ZS,CC BY-4.0,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed primary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed primary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CUAT.MA.ZS,CC BY-4.0,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed primary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed primary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CUAT.ZS,CC BY-4.0,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed primary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed primary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.ST.FE.ZS,CC BY-4.0,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed short-cycle tertiary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.ST.MA.ZS,CC BY-4.0,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed short-cycle tertiary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.ST.ZS,CC BY-4.0,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed short-cycle tertiary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.UP.FE.ZS,CC BY-4.0,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed upper secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed upper secondary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.UP.MA.ZS,CC BY-4.0,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed upper secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed upper secondary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CUAT.UP.ZS,CC BY-4.0,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed upper secondary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed upper secondary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.MS.FE.ZS,CC BY-4.0,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Master's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.MS.MA.ZS,CC BY-4.0,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Master's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.MS.ZS,CC BY-4.0,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Master's or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.DO.FE.ZS,CC BY-4.0,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Doctoral or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.DO.MA.ZS,CC BY-4.0,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Doctoral or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.TER.CUAT.DO.ZS,CC BY-4.0,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",,The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,"It is calculated by dividing the number of population ages 25 and older who attained or completed Doctoral or equivalent by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 

Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.","Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
